stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN91430;Rihpojávri;20.57950;69.22350;9.9;9.8;0.1;;;
SN91530;Gámanjunni ;20.57870;69.48180;4.7;5.0;-0.3;;;
SN91551;Holmen;20.86930;69.48020;12.2;12.6;-0.4;;;
SN9160;Folldal;9.99476;62.12799;10.5;10.7;-0.2;79.7;78.0;102.2
SN91725;Skjervøy;20.96250;70.03320;;;;51.8;62.0;83.5
SN91729;Trolltinden;20.43100;70.07500;5.7;7.1;-1.4;;;
SN91740;Sørkjosen;20.95240;69.79020;11.7;12.0;-0.3;;;
SN92350;Nordstraum;21.89580;69.83620;11.7;12.0;-0.3;59.3;55.0;107.8
SN92650;Nuvsvåg;22.07050;70.23680;11.1;11.5;-0.4;118.6;153.0;77.5
SN92750;Hasvik LH;22.14570;70.48650;11.2;11.3;-0.1;;;
SN92860;Dealljá;22.34130;70.17280;8.6;8.8;-0.2;;;
SN92910;Sopnesbukt;22.32430;70.05180;;;;53.7;59.0;91.0
SN93000;Hasvik;22.44280;70.60700;8.5;8.4;0.1;;;
SN9310;Hjerkinn;9.54196;62.22058;8.9;9.7;-0.8;66.6;62.0;107.4
SN93140;Alta LH;23.35820;69.97750;12.3;12.3;0.0;41.1;47.0;87.4
SN93301;Suolovuopmi;23.53450;69.57970;9.9;9.9;0.0;48.5;57.0;85.1
SN93700;Kautokeino (Guovdageaidnu);23.03490;68.99640;10.9;11.1;-0.2;68.2;67.0;101.8
SN9380;Snøheim;9.35200;62.29580;5.9;6.6;-0.7;;;
SN93900;Šihččajávri;23.53953;68.75597;10.8;10.7;0.1;68.1;92.0;74.0
SN94230;Rognsundet;22.81770;70.41070;11.4;11.1;0.3;;;
SN94280;Hammerfest;23.67720;70.68070;10.7;10.6;0.1;54.7;59.0;92.7
SN94500;Fruholmen fyr;23.98376;71.09445;10.3;10.1;0.2;;;
SN94680;Honningsvåg;25.97820;71.01050;10.6;10.2;0.4;38.8;;
SN94800;Repvåg;25.61610;70.77310;;;;35.7;52.0;68.7
SN95350;Banak;24.97930;70.06000;11.7;11.6;0.1;;;
SN95590;BØRSELV;25.56480;70.31186;;;;60.2;69.0;87.2
SN9580;Tynset;10.73527;62.26969;11.6;11.9;-0.3;74.7;68.0;109.9
SN96220;Lebesby;26.99800;70.58117;11.3;;;48.5;65.0;74.6
SN96310;Mehamn LH;27.82980;71.03300;10.7;10.5;0.2;41.8;;
SN96400;Slettnes fyr;28.21700;71.08880;10.4;9.9;0.5;;;
SN96600;Skjånes;28.09950;70.80000;;;;54.5;46.0;118.5
SN96850;Deanušaldi;28.15900;70.21220;11.4;11.1;0.3;43.2;54.0;80.0
SN96931;Polmak;27.96384;70.08712;;;;24.9;58.0;42.9
SN97251;Karasjok;25.50230;69.46350;11.4;11.1;0.3;38.7;58.0;66.7
SN97350;Čoavddatmohkki;24.43150;69.36960;10.4;11.0;-0.6;34.5;65.0;53.1
