stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN91430;Rihpojávri;20.57950;69.22350;6.8;5.7;1.1;;;
SN91530;Gámanjunni ;20.57870;69.48180;1.2;1.6;-0.4;;;
SN91551;Holmen;20.86930;69.48020;10.2;8.8;1.4;;;
SN9160;Folldal;9.99476;62.12799;6.9;6.5;0.4;44.5;29.0;153.4
SN91725;Skjervøy;20.96250;70.03320;;;;41.6;79.0;52.7
SN91729;Trolltinden;20.43100;70.07500;3.1;3.2;-0.1;;;
SN91740;Sørkjosen;20.95240;69.79020;9.6;8.4;1.2;;;
SN92350;Nordstraum;21.89580;69.83620;9.8;8.5;1.3;55.3;47.0;117.7
SN92650;Nuvsvåg;22.07050;70.23680;9.1;8.1;1.0;97.2;133.0;73.1
SN92750;Hasvik LH;22.14570;70.48650;9.2;8.6;0.6;;;
SN92860;Dealljá;22.34130;70.17280;6.0;5.4;0.6;;;
SN92910;Sopnesbukt;22.32430;70.05180;;;;56.7;67.0;84.6
SN93000;Hasvik;22.44280;70.60700;6.3;5.6;0.7;;;
SN9310;Hjerkinn;9.54196;62.22058;6.2;5.7;0.5;62.1;36.0;172.5
SN93140;Alta LH;23.35820;69.97750;9.5;8.2;1.3;94.0;37.0;254.1
SN93301;Suolovuopmi;23.53450;69.57970;6.7;5.2;1.5;88.1;37.0;238.1
SN93700;Kautokeino (Guovdageaidnu);23.03490;68.99640;7.0;6.0;1.0;143.2;43.0;333.0
SN9380;Snøheim;9.35200;62.29580;3.4;2.8;0.6;;;
SN93900;Šihččajávri;23.53953;68.75597;7.0;5.6;1.4;80.9;61.0;132.6
SN94230;Rognsundet;22.81770;70.41070;9.4;8.2;1.2;;;
SN94280;Hammerfest;23.67720;70.68070;8.9;7.9;1.0;60.9;74.0;82.3
SN94500;Fruholmen fyr;23.98376;71.09445;9.3;8.2;1.1;;;
SN94680;Honningsvåg;25.97820;71.01050;9.3;8.0;1.3;40.3;;
SN95350;Banak;24.97930;70.06000;9.2;7.8;1.4;;;
SN95590;BØRSELV;25.56480;70.31186;;;;44.3;52.0;85.2
SN9580;Tynset;10.73527;62.26969;8.3;7.5;0.8;55.9;37.0;151.1
SN96220;Lebesby;26.99800;70.58117;9.2;;;49.3;56.0;88.0
SN96310;Mehamn LH;27.82980;71.03300;9.0;7.7;1.3;71.0;;
SN96400;Slettnes fyr;28.21700;71.08880;9.1;7.7;1.4;;;
SN96600;Skjånes;28.09950;70.80000;;;;62.4;57.0;109.5
SN96850;Deanušaldi;28.15900;70.21220;8.7;6.9;1.8;70.0;39.0;179.5
SN96931;Polmak;27.96384;70.08712;;;;48.2;38.0;126.8
SN97251;Karasjok;25.50230;69.46350;7.9;6.2;1.7;36.6;39.0;93.8
SN97350;Čoavddatmohkki;24.43150;69.36960;6.9;5.8;1.1;79.6;40.0;199.0
SN97710;Iškoras ;25.34600;69.30030;5.4;4.2;1.2;;;
